         143478 function calls (138828 primitive calls) in 0.089 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.000    0.000 __init__.py:1878(LoggerAdapter)
       14    0.000    0.000    0.000    0.000 _compiler.py:407(_generate_overlap_table)
       16    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:989(create_module)
      257    0.000    0.000    0.000    0.000 hmac.py:20(<genexpr>)
        1    0.000    0.000    0.000    0.000 retry.py:1(<module>)
      118    0.000    0.000    0.000    0.000 {method 'upper' of 'str' objects}
        1    0.000    0.000    0.019    0.019 _base_connection.py:1(<module>)
        1    0.000    0.000    0.000    0.000 pathlib.py:826(Path)
        4    0.000    0.000    0.000    0.000 {method 'tolist' of 'memoryview' objects}
       63    0.000    0.000    0.000    0.000 enum.py:70(_is_internal_class)
      104    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1573(<genexpr>)
        8    0.000    0.000    0.000    0.000 enum.py:957(_check_for_existing_members_)
        1    0.000    0.000    0.001    0.001 message.py:1(<module>)
      155    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:986(create_module)
      113    0.000    0.000    0.000    0.000 {method 'isascii' of 'str' objects}
        2    0.000    0.000    0.000    0.000 typing.py:1047(_generic_class_getitem)
        1    0.000    0.000    0.000    0.000 {method 'disable' of '_lsprof.Profiler' objects}
        1    0.000    0.000    0.000    0.000 ipaddress.py:1569(_IPv4Constants)
        8    0.000    0.000    0.000    0.000 __init__.py:1497(__init__)
      196    0.000    0.000    0.000    0.000 {built-in method builtins.chr}
        1    0.000    0.000    0.000    0.000 status_codes.py:1(<module>)
       34    0.000    0.000    0.000    0.000 ipaddress.py:1885(_split_scope_id)
        8    0.000    0.000    0.000    0.000 enum.py:383(__init__)
       39    0.000    0.000    0.000    0.000 typing.py:1454(<genexpr>)
      113    0.000    0.000    0.000    0.000 {method 'isdigit' of 'str' objects}
    21/18    0.000    0.000    0.001    0.000 typing.py:508(__getitem__)
        1    0.000    0.000    0.000    0.000 lzma.py:1(<module>)
        7    0.000    0.000    0.000    0.000 __init__.py:2149(getLogger)
        7    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:1287(create_module)
        1    0.000    0.000    0.000    0.000 {function socket.close at 0x7e6fc9440e00}
       11    0.000    0.000    0.000    0.000 functools.py:479(lru_cache)
        1    0.000    0.000    0.000    0.000 base64.py:1(<module>)
        1    0.000    0.000    0.001    0.001 queue.py:1(<module>)
        1    0.000    0.000    0.000    0.000 charset.py:1(<module>)
        1    0.000    0.000    0.000    0.000 mimetypes.py:1(<module>)
        3    0.000    0.000    0.000    0.000 typing.py:1096(_generic_init_subclass)
        1    0.000    0.000    0.000    0.000 errors.py:1(<module>)
       61    0.000    0.000    0.000    0.000 enum.py:93(_is_single_bit)
        1    0.000    0.000    0.000    0.000 {built-in method math.exp}
      110    0.000    0.000    0.000    0.000 ipaddress.py:574(__int__)
        1    0.000    0.000    0.000    0.000 cookies.py:236(Morsel)
        1    0.000    0.000    0.000    0.000 ipaddress.py:1914(IPv6Address)
